province_id,group_id
10,21
10,22
10,23
10,24
10,25
10,26
10,27
11,39
11,40
11,41
11,42
13,39
13,40
13,41
13,42
17,63
1,18
1,19
1,20
1,4
1,1
4,18
4,19
4,20
4,4
4,1
9,18
9,19
9,20
9,4
9,1
12,28
12,29
12,30
12,8
12,6
12,31
12,32
12,33
6,28
6,29
6,30
6,8
6,6
6,31
6,32
6,33
8,28
8,29
8,30
8,8
8,6
8,31
8,32
8,33
14,43
14,44
14,45
14,46
14,47
14,48
14,49
14,5
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,5
15,50
15,51
15,52
15,53
15,54
15,55
15,3
15,56
15,57
3,50
3,51
3,52
3,53
3,54
3,55
3,3
3,56
3,57
2,7
2,2
2,58
2,59
2,60
2,61
2,62
7,7
7,2
7,58
7,59
7,60
7,61
7,62
16,7
16,2
16,58
16,59
16,60
16,61
16,62
